Name,Ingredients,Cuisine
"Sopa De Lima (Merida, Yucatan)","avocados,chicken breasts,chicken broth,limes,onions,salt and pepper,serranos,tomatoes,tortillas,vegetable oil",mexican
Chunky Pico De Gallo,"fresh cilantro,fresh ground pepper,jalapeno peppers,lime juice,salt,sweet onions,tomatoes",mexican
Mexican Tamarind Cooler (Agua de Tamarindo),"sugar,tamarind pulp,water",mexican
3-Ingredient Carnitas,"avocados,boneless pork shoulder,cayenne,cilantro,corn tortillas,ground cloves,ground cumin,kosher salt & freshly ground black pepper,low sodium chicken broth,pickled red onions,red cabbage,serrano chilies,sour cream,water",mexican
Caldo De Pollo--mexican Chicken Stew/soup,"carrots,celery,chicken legs,chicken thighs,cilantro,lemon wedges,lime wedges,olive oil,onions,potatoes,salsa,salt,salt and pepper,water",mexican
Romaldo's Carnitas,"chili powder,chuck roast,garlic,green chilies,ground cumin,oregano,salt",mexican
Classic Caesar Salad,"anchovies,Dijon mustard,egg yolks,extra virgin olive oil,fresh garlic,lemon juice,parmesan cheese,red wine vinegar,romaine lettuce,seasoned croutons,Worcestershire sauce",mexican
Corn Tortillas,"masa harina flour,salt,water",mexican
Chapulines,"avocados,bell peppers,chipotle peppers,fresh cilantro,garlic cloves,limes, juice of,olive oil,onions,purple onions,roma tomatoes,salt,salt and black pepper,serrano peppers,taco shells,tomatillos,tortillas,white onions",mexican
Lupita's Tlayudas,"avocados,boneless pork chops,dried arbol chiles,duck fat,fresh cilantro,hot sauce,lard,lettuce,oaxaca cheese,olive oil,onions,refried black beans,salsa,salt,tomatoes,tortillas",mexican
Oaxacan Wedding Cake,"baking powder,eggs,espresso coffee,granulated sugar,milk,powdered sugar,salt,strawberries,unbleached all-purpose flour,unsalted butter,vanilla beans,vanilla extract,walnuts,whipping cream",mexican
Tacos Al Pastor,"adobo sauce,ancho chilies,chipotle chiles in adobo,cilantro leaves,fresh oregano,fresh pineapple,garlic cloves,guajillo chilies,honey,lime wedges,onions,pork butt,salsa,salt,smoked paprika,vinegar,white corn tortillas",mexican
Marco's Fish Wrapped in Hoja Santa,"banana leaves,bananas,bonito flakes,butter,canola oil,cheese,chia seeds,cornflour,epazote,fish fillets,garlic cloves,hoja santa,Huitlacoche,leeks,macadamia nuts,onions,salt,salt & freshly ground black pepper,whole allspice",mexican
Jaime's Chorizo Enchiladas,"ancho chilies,coriander seeds,cumin seeds,fresh ground pepper,fresh oregano,garlic cloves,ground pork,guajillo chilies,olive oil,pico de gallo,queso fresco,red wine vinegar,refried beans,salt,smoked paprika,tortillas",mexican
Estella's Mole Poblano Chicken,"anise seeds,black peppercorns,chicken,chicken broth,cinnamon sticks,corn tortillas,cumin seeds,dried ancho chiles,garlic cloves,hazelnuts,lard,mexican chocolate,onions,pecans,plantains,poblano chiles,raisins,salt,salt & freshly ground black pepper,sesame seeds,sugar,whole almonds,whole cloves",mexican
"Blue Corn, Mushroom and Cheese Quesadillas","blue cornmeal,epazote,masa harina,olive oil,onions,porcini mushrooms,queso fresco,salsa,salt,salt & freshly ground black pepper,serrano chilies,warm water",mexican
Rosalia Sr.'s Pollo Pipian,"ancho chilies,chicken,chicken stock,cinnamon sticks,corn tortillas,fresh cilantro leaves,garlic,garlic cloves,guajillo chilies,olive oil,onions,pumpkin seeds,salt & freshly ground black pepper,sesame seeds,whole cloves",mexican
Home-Style Habanero Hot Sauce,"chilies,fresh cilantro,garlic cloves,olive oil,onions,salt,white wine vinegar",mexican
Relleno Negro (Black Turkey Stew),"arbol chiles,coarse sea salt,cumin seeds,eggs,epazote,fresh oregano,garlic cloves,ground beef,hard-cooked eggs,olive oil,onions,salt & freshly ground black pepper,tomatoes,tortillas,turkey,whole allspice,whole cloves",mexican
Emiliano's Tuna Machaca,"canola oil,fresh oregano,fresh tuna,garlic cloves,lime wedges,onions,poblano chiles,salt & freshly ground black pepper,tomatoes,tortillas",mexican
Barbacoa,"avocado leaves,bay leaves,black peppercorns,boneless beef roast,cloves,coarse salt,dried ancho chiles,dried guajillo chilies,dried oregano,garlic cloves,goat meat,marjoram,onions,plums,red wine vinegar,thyme,water",mexican
Jose's Torta Ahogada (Spicy Pork Sandwich),"baguette,canola oil,cayenne,dried arbol chiles,garlic cloves,Italian tomatoes,lime juice,pork tenderloin,red onions,red wine vinegar,rolls,salt & freshly ground black pepper,smoked paprika,sugar,sweet paprika",mexican
"Smoky, Spicy Tomatillo Salsa Verde Aka Green Hell!","chipotle chiles in adobo,fresh basil,fresh cilantro,fresh parsley,garlic cloves,habanero peppers,limes, juice of,onions,salt and pepper,tomatillos",mexican
Molly's Refried Beans,"bacon,dried black beans,dried pink beans,dried pinto beans,garlic cloves,lard,oil,salt,water,white onions",mexican
Marinated Pork Tortas With Cilantro Aioli & Chiles Curtidos,"avocados,bay leaves,boneless pork roast,brown sugar,butter,canola oil,carrots,cilantro,cloth,cold water,curry powder,Dijon mustard,dried black beans,dried oregano,garlic,garlic cloves,granulated garlic,granulated sugar,ground coffee,ground cumin,jalapeno peppers,lemon juice,lime juice,limes,mayonnaise,minced ginger,olive oil,onions,queso fresco,rice vinegar,rolls,salt,scallions,soy sauce,tamari,vegan mayonnaise,water,white vinegar",mexican
Chicken Aguascalientes,"chicken,cinnamon,cloves,cornstarch,fresh tomatoes,garlic cloves,lemon juice,oil,onions,oregano,salt,salt and pepper,sugar",mexican
Beef Machaca,"adobo seasoning,beef bouillon cubes,boneless beef chuck roast,dry mustard,garlic,green chilies,onions,peppercorns,salsa,salt",mexican
Tamales De Pollo Con Chile Verde- Green Chile Chicken Tamales,"baking powder,chicken,chicken broth,cooked chicken,corn husks,fresh cilantro,garlic cloves,hot green chili peppers,masa harina,masa harina flour,olive oil,pork fat,salt,tomatillos,vegetable oil",mexican
Cajeta (Caramel Candy),"baking soda,cinnamon sticks,milk,sugar",mexican
Carne Asada (Arrachera Con Ajo Y Limon A La Parrilla),"coarse salt,fresh lime juice,garlic,olive oil,skirt steaks",mexican
Las Manitas Enchiladas Zacatecanas,"bell peppers,black pepper,butter,chicken,chicken broth,cilantro,corn tortillas,cumin,dried marjoram,flour tortillas,garlic cloves,monterey jack cheese,olive oil,onions,poblano chiles,salt,sour cream,tomato sauce,tomatoes,water",mexican
Whole Wheat Tortillas,"baking powder,oil,salt,warm water,whole wheat flour",mexican
Agasajos (Mexican Hot Chocolate),"cinnamon sticks,dried chilies,milk,oranges, zest of,rose water,saffron threads,semisweet chocolate,sugar,vanilla",mexican
Walter's Cochinita Pibil,"baguette,banana leaves,coriander seeds,fresh cilantro leaves,fresh oregano,garlic cloves,ground annatto seed,ground cinnamon,habanero peppers,limes,olive oil,onions,peppercorns,pork shoulder,red onions,salt,salt & freshly ground black pepper,seville oranges,tomatoes,tortillas,whole cloves",mexican
Chocolate Clams and Salsa,"black beans,chipotle peppers,clams,Dijon mustard,fresh cilantro,garlic cloves,jalapeno peppers,lard,lime wedges,limes,mayonnaise,olive oil,onions,salt & freshly ground black pepper,serrano chilies,tomatoes",mexican
Salsa Borracha or Drunk Salsa,"beer,butter,chili powder,diced tomatoes,garlic cloves,jalapenos,tomato paste",mexican
Mexican Red Snapper Veracruz,"bouillon,capers,chicken bouillon granules,chilies,cooked rice,garlic cloves,green bell peppers,green olives,maggi seasoning sauce,onions,orange juice,tomato sauce,tomatoes,vegetable oil,white fish fillets,white pepper,white wine",mexican
Yucatan Marinade,"cayenne,dried oregano,garlic cloves,ground cumin,jalapeno chile,lemons, juice of,limes, juice of,oranges, juice of,salt",mexican
Papadzules : Mayan Egg Enchiladas With Pumpkin Seed Sauce,"corn oil,epazote,habanero peppers,hard-boiled eggs,onions,pepper,pumpkin seeds,salt,tomatoes,tortillas,water",mexican
Strawberry Agua Fresca,"fresh lime juice,strawberries,sugar,water",mexican
Chamoy,"apricot preserves,dried ancho chiles,fresh lime juice,salt,sugar",mexican
Pickled Red Onions,"cider vinegar,red onions,salt",mexican
Puntas De Filete a La Nortena,"bacon,filet of beef,fresh cilantro,fresh jalapeno peppers,olive oil,onions,salt & freshly ground black pepper,serrano chilies,tomatoes,tortillas,unsalted butter",mexican
Street Tacos-  Authentic Mexican  No Cheese Chicken,"boneless skinless chicken,chicken broth,cilantro,corn tortillas,cumin,fresh cilantro,garlic powder,ginger,ground pepper,limes,onions,pico de gallo,taco seasoning,white corn tortillas",mexican
Tacu Tacu,"brown rice,chickpeas,garlic cloves,olive oil,pepper,salt,sweet onions,water",mexican
Miss Michelle's Famous Texas Bean Dip,"green onions,ranch style beans,refried beans,tomatoes and green chilies,Velveeta cheese",mexican
Spanish Rice,"chicken broth,frozen peas,garlic,Italian-style stewed tomatoes,vegetable oil,water,white onions,white rice",mexican
Easy Indoor Fajitas,"bell peppers,chicken breasts,olive oil,onions,taco seasoning mix",mexican
Albondigas Soup,"carrots,celery,chicken broth,eggs,garlic cloves,ground beef,onions,pepper,rice,salt,tomato sauce,water",mexican
Jim Lahey’s No-Knead Pizza Margherita,"all-purpose flour,basil leaves,bread flour,buffalo mozzarella,extra virgin olive oil,heirloom tomatoes,instant yeast,salt,tomato sauce,tomatoes,water",italian
Pasta Alla Cacio E Pepe,"extra virgin olive oil,fresh ground black pepper,heavy cream,pecorino romano cheese,spaghetti,table salt",italian
Branzino in Salsa Picante,"basil,black olives,capers,dry white wine,extra virgin olive oil,flat leaf parsley,garlic cloves,kosher salt,onions,red bell peppers,red chili peppers,striped bass,tomatoes,white pepper",italian
Rachael Ray's Tortoni,"chocolate syrup,coconut cookies,coconut macaroons,hot fudge,maraschino cherries,salted nuts,semisweet mini chocolate chips,vanilla ice cream",italian
Braciola - Braciole (Italian Stuffed Beef Rolls),"garlic powder,mozzarella cheese,olive oil,parmesan cheese,pasta sauce,salt and pepper,top round steaks",italian
Zuppa Di Salsiccia Italiana (Italian Sausage Soup),"basil,black pepper,cayenne pepper,celery seeds,chicken broth,garlic cloves,half-and-half cream,hot Italian sausage,kale,oregano,red potatoes,rosemary,shallots,white onions",italian
My Chicken Parmigiana,"boneless skinless chicken breast halves,butter,cooked spaghetti,eggs,fresh parsley,Italian seasoned breadcrumbs,margarine,mozzarella cheese,parmesan cheese,provolone cheese,spaghetti sauce",italian
Easy-As-Pie Pasta Dough,"all-purpose flour,egg yolks,kosher salt,olive oil",italian
Tomato Risotto (Risotto Al Pomodoro),"arborio rice,black pepper,extra virgin olive oil,fresh basil leaves,garlic cloves,parmesan cheese,sea salt,shallots,tomatoes,unsalted butter,vegetable stock,white wine",italian
Classic Lasagna,"black pepper,crushed tomatoes,garlic powder,ground beef,lasagna noodles,mozzarella cheese,olive oil,onions,oregano leaves,parmesan cheese,parsley,ricotta cheese,salad oil,salt,sugar,tomato paste,water",italian
Arancini  (Italian Rice Balls),"butter,cooked rice,dried parsley,eggs,fine dry breadcrumbs,flour,fresh parsley,garlic,ground black pepper,mozzarella cheese,oil,parmesan cheese,romano cheese,seasoning salt",italian
Pasta E Fagioli (Italian soup) with Italian Sausage,"cannellini beans,carrots,celery,chicken stock,ditalini,dry basil,dry oregano,flat leaf parsley,garlic,hot Italian sausage,olive oil,onions,parmesan cheese,red pepper flakes,small shell pasta,sweet Italian sausage links,tomatoes with juice,vegetable stock",italian
The Veal Milanese,"breadcrumbs,butter,eggs,flour,garlic oil,veal cutlets",italian
Kittencal's Almond Biscotti,"almond extract,baking powder,butter,egg whites,eggs,flour,orange rind,sugar,unblanched whole almonds,vanilla",italian
Nanna's Gnocchi,"all-purpose flour,eggs,nutmeg,potatoes,salt and pepper",italian
Pasta Carbonara,"bacon,butter,eggs,fresh ground pepper,pancetta,parmesan cheese,perciatelli,romano cheese,spaghetti",italian
Kittencal's Mini Meatball Minestrone Soup,"carrots,celery,chicken broth,cooked small shell pasta,crushed red pepper flakes,dried oregano,dry breadcrumbs,eggs,extra lean ground beef,fresh ground black pepper,fresh spinach,garlic,garlic cloves,green beans,green onions,kidney beans,olive oil,onions,parmesan cheese,salt,salt & freshly ground black pepper,seasoning salt,tomato paste,tomato sauce,zucchini",italian
Gelato Con Olio E Sale (Ice Cream With Olive Oil & Sea Salt),"extra virgin olive oil,sea salt,vanilla ice cream",italian
Taralli Baresi,"black pepper,dry white wine,dry yeast,flour,olive oil,salt,warm water",italian
Italian Tomato Sausage Ragu With Penne,"carrots,celery,chicken broth,dried oregano,dry red wine,fresh basil,garlic,Italian sausages,olive oil,onions,parmesan cheese,penne pasta,red pepper flakes,salt & freshly ground black pepper,whole canned tomatoes",italian
Easy Stracciatella Italian Soup,"cheese,chicken broth,eggs,frozen chopped spinach,orzo pasta,salt & pepper",italian
Ligurian Buridda (Italian Fish Stew),"bass fillets,carrots,fish stock,fresh ground pepper,garlic cloves,king prawns,monkfish steaks,mussels,olive oil,onions,plum tomatoes,salt,sea bream fillets,squid rings,sugar,thyme,tomatoes",italian
Torrone,"almonds,egg whites,hazelnuts,honey,lemons, rind of,sugar,wafer paper",italian
Old-fashioned Linguine with White Clam Sauce,"basil,butter,clams,extra virgin olive oil,garlic,lemon juice,linguine,Old Bay Seasoning,onions,oregano,parmesan cheese,parsley,red pepper flakes,thin spaghetti",italian
Risotto Coi Frutti Di Mare (Risotto With Seafood),"arborio rice,dry white wine,garlic,ground cayenne pepper,olive oil,onions,parsley,pepper,plum tomatoes,salt,shrimp,small squid,water",italian
Sausage and Pepperoni Cheese Stuffed Calzone,"crushed red pepper flakes,garlic cloves,italian seasoning,marinara sauce,mozzarella cheese,olive oil,parmesan cheese,part-skim ricotta cheese,pepperoni slices,pizza dough,salt and pepper,sausage",italian
Penne Arrabbiata,"bay leaves,fresh basil,fresh parsley,garlic cloves,olive oil,parmesan cheese,penne pasta,red pepper flakes,salt,tomato paste,white wine,whole tomatoes",italian
"Limoncello , Lemoncella","100 proof vodka,lemons,sugar,water",italian
Minestrone,"carrots,celery,chicken broth,dried basil leaves,dry white wine,garbanzo beans,garlic,heads  of cabbage,kidney beans,olive oil,onions,oregano,parmesan cheese,pasta,pepper,spinach,tomato juice,whole tomatoes,zucchini",italian
Sfogliatelle,"all-purpose flour,candied orange,confectioners' sugar,egg whites,eggs,ricotta cheese,salt,shortening,vanilla",italian
Alessi's Tiramisu,"brandy,brewed espresso,chocolate curls,cocoa powder,egg yolks,fresh edible flowers,marsala,mascarpone cheese,Savoiardi cookies,strong coffee,sugar,vanilla,whipping cream",italian
Porchetta,"chili flakes,garlic,garlic powder,lemons,pork,pork belly,salt,thyme",italian
Chicken Piccata - Giada De Laurentiis,"all-purpose flour,boneless skinless chicken breasts,capers,chicken stock,extra virgin olive oil,fresh lemon juice,fresh parsley,salt & freshly ground black pepper,unsalted butter",italian
Baccala Soup,"bay leaves,celery,crushed tomatoes,dried salt cod fish,garlic cloves,oil,onions,parsley,pepper,potatoes,thyme,water",italian
Neapolitan Meat Sauce - Ragu Napoletano Alla Anna Galasso,"basil leaves,carrots,celery ribs,crushed plum tomatoes,dry red wine,extra virgin olive oil,flat leaf parsley,garlic cloves,ground black pepper,kosher salt,meaty spareribs,onions,pecorino cheese,salt and pepper,sugar,top round steaks,white wine",italian
Ravioli (Dough and Choice of 4 Fillings),"butter,cinnamon,eggs,flat leaf parsley,garlic,ground veal,ham,lean ground beef,mortadella,nutmeg,prosciutto,ricotta cheese,romano cheese,salami,salt,salt and pepper,spinach,sweet Italian sausage links,unbleached white flour,water",italian
Kittencal's Chicken Cacciatore,"all-purpose flour,bay leaves,chicken broth,chicken thighs,crushed red pepper flakes,diced tomatoes,dried basil,dried oregano,dry white wine,fresh ground black pepper,fresh mushrooms,garlic,garlic powder,green bell peppers,green olives,olive oil,onions,seasoning salt,tomato paste",italian
Chicken Fettuccine Alfredo from Adventures in Chicken,"asiago cheese,chicken thighs,cracked black pepper,creme fraiche,extra virgin olive oil,fettuccine pasta,fresh basil leaves,garlic cloves,kosher salt,milk,parmesan cheese,pecorino romano cheese,unsalted butter",italian
"Baccala Fritto   "" Fried Salt Cod""","all-purpose flour,dried salt cod fish,fresh parsley,lemon wedges,olive oil",italian
Quick and Creamy Boscaiola Pasta (Bacon and Mushroom),"bacon,button mushrooms,cream,olive oil,parsley,pasta,scallions",italian
Anise Cookies,"anise seed,baking soda,cinnamon,cream of tartar,eggs,flour,salt,shortening,sugar",italian
Boneless Breast of Chicken Saltimbocca,"all-purpose flour,boneless skinless chicken breasts,chicken broth,clarified butter,cream,dry sherry,dry white wine,flour,fresh thyme,garlic,monterey jack cheese,mushrooms,oregano leaves,prosciutto ham,salt and pepper,shallots",italian
ragu bolognese,"bay leaves,beef stock,butter,carrots,celery,chopped tomatoes,dried oregano,fresh basil,garlic,ground beef,ground pork,ground veal,milk,olive oil,onions,pancetta,salt and pepper,white wine",italian
Rosemary - Garlic Focaccia,"active dry yeast,all-purpose flour,dried rosemary,garlic cloves,kosher salt,olive oil,salt,sea salt,sugar",italian
Bucatini Amatriciana With Ricotta Salata,"hot red pepper flakes,Italian tomatoes,kosher salt,olive oil,pancetta,pasta,red onions,ricotta salata,sea salt,unsalted butter",italian
Ciabatta (Italian Slipper Bread),"active dry yeast,bread flour,milk,olive oil,salt,water",italian
Chicken Agrodolce (an Italian Sweet and Sour Chicken),"allspice berries,balsamic vinegar,bay leaves,boneless skinless chicken breasts,cayenne pepper,dry white wine,flour,garlic,honey,lemon juice,olive oil,orange juice,pignolis,salt and pepper",italian
"Zuppa Di Pesce, Cioppino, or Fish Stew","anchovies,baby clams,bay leaves,black pepper,carrots,catfish fillets,celery,cod fish fillets,coriander seeds,diced tomatoes,dried basil,dried oregano,fennel,fresh parsley,garlic cloves,kale,lemons, zest of,olive oil,onions,potatoes,red pepper flakes,saffron,salt,scallops,seafood,shiitake mushrooms,shrimp,shrimp stock,tilapia fillets,water,white wine,Worcestershire sauce",italian
"Bruschetta With Pesto, Tomatoes and Thingies.","baguette,basil pesto,black pepper,brie cheese,camembert cheese,salt,sweet onions,tomatoes,virgin olive oil",italian
Pesto,"basil,garlic,olive oil,parmesan cheese,pine nuts,romano cheese",italian
Gourmet Mushroom Risotto,"arborio rice,black pepper,butter,chicken broth,chives,dry white wine,oil,parmesan cheese,salt,shallots,white mushrooms",italian
Veal Osso Buco,"anchovy fillets,bacon,capers,carrots,celery,chicken stock,dry white wine,flat leaf parsley,flour,fresh thyme,garlic cloves,lemons, zest of,olive oil,olives,onions,pancetta,salt and pepper,veal shanks,veal stock",italian
The Easiest Cannoli,"cannoli shells,chocolate,cinnamon,confectioners' sugar,pistachios,ricotta cheese,semisweet mini chocolate chips",italian
Almond Panna Cotta With Cherry Compote,"almond milk,balsamic vinegar,bing cherries,cherries,cherry preserves,heavy whipping cream,sugar,unflavored gelatin,whole almonds",italian
Soft Polenta,"butter,fresh ground black pepper,kosher salt,parmigiano-reggiano cheese,polenta,water",italian
Panzanella,"balsamic vinegar,canned anchovy fillets,capers,ciabatta,cucumbers,extra virgin olive oil,focaccia bread,French bread,fresh basil leaves,orange bell peppers,red bell peppers,red onions,red wine vinegar,salt and pepper,tomatoes,yellow bell peppers",italian
Goulash Triestino,"all-purpose flour,beef round steak,boneless beef chuck,coarse sea salt,cold water,dried oregano,extra virgin olive oil,fresh rosemary,Hungarian paprika,kosher salt,onions,tomato paste",italian
Caponata ' Eggplant and Lots of Good Things!,"balsamic vinegar,black olives,capers,celery,diced tomatoes,eggplants,fresh basil,fresh oregano,garlic cloves,olive oil,onions,pine nuts,rosemary oil,salt,sugar,sun-dried tomatoes packed in oil",italian
Blackberry Gelato,"egg yolks,fresh blackberries,heavy cream,salt,sugar,whole milk",italian
Veal Osso Buco (Yummy),"all-purpose flour,bay leaves,butter,carrots,celery,dried basil,dried parsley,dried thyme,extra virgin olive oil,garlic cloves,ground black pepper,onions,salt,tomato sauce,veal shanks,water",italian
Florentine Style Steak -- Bistecca Alla Fiorentina,"coarse salt,dried rosemary,garlic cloves,pepper,pork fatback,porterhouse steaks",italian
Peperonata,"anchovies,balsamic glaze,basil,bell peppers,garlic cloves,kalamata olives,olive oil,onions,red pepper flakes,red wine vinegar,salt and pepper,seasoning,tomatoes",italian
Basil and Lime Granita,"basil leaves,limes, juice of,sugar,vodka,water",italian
PANETTONE,"active dry yeast,agave nectar,candied fruit,dark rum,egg yolks,eggs,granulated sugar,grapeseed oil,lemon extract,lemon zest,orange zest,pure vanilla extract,raisins,sea salt,sultanas,unbleached all-purpose flour,unsalted butter,warm water",italian
Fried Calamari,"breadcrumbs,calamari,cornmeal,cornstarch,eggs,garlic,oil,salt",italian
Super-Easy Chocolate Ganache or Gelato,"butter,chocolate chips,eggs,heavy cream,milk,sugar,vanilla extract",italian
Risi E Bisi (Italian Rice and Peas) (Rice Cooker),"celery,chicken stock,dry white wine,heavy cream,meat stock,olive oil,parmesan cheese,peas,risotto rice,shallots,unsalted butter,vegetable stock",italian
Muffuletta Bread,"active dry yeast,bread flour,salt,sesame seeds,sugar,vegetable shortening,warm water",italian
Mamma Mia!  That's a Semifreddo!,"all-purpose flour,almond extract,almonds,Amaretto,blanched almonds,butter,eggs,granulated sugar,ground nutmeg,lemon zest,pistachios,vanilla extract,vanilla gelato",italian
Calamari Mediterranean,"ancho chilies,calamari,capers,cumin,garlic cloves,Italian parsley,lime juice,olive oil,plum tomatoes,red pepper flakes,salt,unsalted butter,white wine",italian
Lemony Pork or Chicken Scaloppine With Lemon Cream Sauce,"boneless pork cutlets,boneless skinless chicken cutlets,butter,eggs,flour,fresh ground black pepper,garlic powder,heavy cream,lemon juice,lemons, zest of,milk,olive oil,parmesan cheese,parsley,pecorino romano cheese,salt,salt and pepper,water",italian
Toasted Panzanella,"capers,cucumbers,French bread,fresh basil,fresh tomatoes,garlic cloves,green olives,lemon zest,olive oil,red onions,red wine vinegar,sugar",italian
Pizzelles,"all-purpose flour,anise extract,baking powder,eggs,margarine,sugar,vanilla",italian
Mozzato Salad (Aka Caprese),"balsamic vinegar,fresh basil leaves,fresh mozzarella cheese,olive oil,pepper,sea salt,tomatoes",italian
Grandma Helen's Struffoli,"baking powder,colored sprinkles,eggs,flour,honey,oil,shortening,sugar,vanilla extract,vegetable oil,vinegar,whiskey",italian
"Chicken Parmesan (Low-Carb, Keto)","almond meal,boneless skinless chicken breasts,eggs,flour,italian seasoning,marinara sauce,mozzarella cheese,parmesan cheese",italian
Torta Di Riso,"arborio rice,butter,eggs,frozen spinach,nutmeg,olive oil,onions,parmesan cheese,pepper,salt",italian
Fruit and Mascarpone Italian Cheesecake/Pie,"graham cracker pie crust,kiwi,mascarpone cheese,powdered sugar,strawberries,whipping cream",italian
Chicken Parmesan Meatloaf Muffins,"basil,black pepper,dried basil,dried breadcrumbs,dried oregano,dried thyme,egg whites,eggs,garlic cloves,ground chicken,mozzarella cheese,onions,oregano,parmesan cheese,parsley,pasta sauce,table salt",italian
Parmesan Meat Patty Casserole,"breadcrumbs,eggs,flour,ground chuck,mozzarella cheese,oil,oregano,parmesan cheese,tomato sauce",italian
Pasta E Fagioli (Old World Style),"bay leaves,cannellini beans,carrots,chicken stock,ditalini,dried thyme,extra virgin olive oil,fresh ground pepper,garlic cloves,onions,pancetta,sea salt,tomato sauce",italian
